articolo,modello,MAE,MAPE(%),RMSE
SLP3100,SMA(3),9986.333333333334,20744.337608726833,13285.673217166426
SLP3100,WMA(3),9031.833333333332,15552.41303818186,12051.166886216639
SLISO180,SMA(3),3050.0,233.33333333333334,3155.7249563293694
SLISO180,WMA(3),2885.0,150.0,3226.6468663304327
SLI749,SMA(3),11967.41666666657,429.65227552822853,14047.795512108092
SLI749,WMA(3),11491.624999999956,317.84122063774856,13815.612018705186
